starttime,gridYaw,gridPitch,lifespan,type,pitch
4.8,3,1,0.646551724,0,1
6.868965517,2,1,0.646551724,0,1
8.937931034,5,2,0.646551724,0,1
11.00689655,0,2,0.646551724,0,1
13.07586207,5,1,0.646551724,0,1
15.14482759,0,1,0.646551724,0,1
17.2137931,2,0,0.646551724,0,1
17.2137931,3,0,0.646551724,0,1
19.28275862,2,2,0.646551724,0,1
19.28275862,3,2,0.646551724,0,1
21.35172414,2,1,2.068965517,1,1
21.35172414,4,1,2.068965517,1,1
23.42068966,5,1,0.646551724,0,1
25.48965517,3,2,0.646551724,0,1
26.52413793,3,1,0.646551724,0,1
27.55862069,2,2,0.646551724,0,1
28.59310345,2,1,0.646551724,0,1
29.62758621,4,1,2.068965517,1,1
29.62758621,2,1,2.068965517,1,1
31.69655172,1,1,0.646551724,0,1
33.76551724,2,2,0.646551724,0,1
34.8,2,1,0.646551724,0,1
35.83448276,3,2,0.646551724,0,1
36.86896552,3,1,0.646551724,0,1
37.90344828,3,1,0.646551724,1,1
37.90344828,4,1,0.646551724,1,1
39.45517241,5,2,0.517241379,0,1
39.97241379,0,1,0.517241379,0,1
40.48965517,1,1,0.517241379,0,1
41.00689655,2,1,0.517241379,0,1
41.52413793,3,1,0.517241379,0,1
42.04137931,4,1,0.646551724,1,1
42.04137931,5,2,0.646551724,1,1
44.11034483,1,1,0.646551724,0,1
44.62758621,4,1,0.646551724,0,1
45.14482759,2,1,0.646551724,0,1
45.66206897,3,1,0.646551724,0,1
46.17931034,2,0,2.068965517,1,1
46.17931034,1,1,2.068965517,1,1
46.17931034,3,0,2.068965517,1,1
46.17931034,4,1,2.068965517,1,1
48.24827586,0,2,0.646551724,0,1
49.28275862,3,1,0.646551724,0,1
50.31724138,2,1,0.646551724,0,1
51.35172414,5,2,0.646551724,0,1
52.3862069,1,1,0.517241379,0,1
52.90344828,4,1,0.517241379,0,1
53.42068966,2,1,0.517241379,0,1
53.93793103,3,1,0.517241379,0,1
54.45517241,2,0,0.646551724,0,1
54.45517241,3,0,0.646551724,0,1
56.52413793,1,1,0.517241379,0,1
57.04137931,4,1,0.517241379,0,1
57.55862069,2,1,0.517241379,0,1
58.07586207,3,1,0.517241379,0,1
58.59310345,2,1,0.646551724,0,1
59.62758621,3,1,0.646551724,1,1
59.62758621,4,2,0.646551724,1,1
60.66206897,0,1,0.25862069,0,1
61.17931034,2,1,0.25862069,0,1
61.69655172,4,1,0.25862069,0,1
62.2137931,1,2,0.646551724,0,1
62.2137931,4,2,0.646551724,0,1
62.73103448,3,1,0.646551724,0,1
64.8,2,1,0.646551724,0,1
66.86896552,5,2,0.646551724,0,1
68.93793103,0,2,0.646551724,0,1
71.00689655,5,1,0.646551724,0,1
73.07586207,0,1,0.646551724,0,1
75.14482759,2,0,0.646551724,0,1
75.14482759,3,0,0.646551724,0,1
77.2137931,2,2,0.646551724,0,1
77.2137931,3,2,0.646551724,0,1
79.28275862,2,1,2.068965517,1,1
79.28275862,4,1,2.068965517,1,1
81.35172414,5,1,0.646551724,0,1
83.42068965,3,2,0.646551724,0,1
84.45517241,3,1,0.646551724,0,1
85.48965517,2,2,0.646551724,0,1
86.52413793,2,1,0.646551724,0,1
87.55862069,4,1,2.068965517,1,1
87.55862069,2,1,2.068965517,1,1
89.62758621,1,1,0.646551724,0,1
91.69655172,2,2,0.646551724,0,1
92.73103448,2,1,0.646551724,0,1
93.76551724,3,2,0.646551724,0,1
94.8,3,1,0.646551724,0,1
95.31724138,2,2,0.646551724,0,1
95.31724138,3,2,0.646551724,0,1
95.83448276,3,1,0.646551724,1,1
95.83448276,4,1,0.646551724,1,1
97.3862069,5,2,0.517241379,0,1
97.90344828,0,1,0.517241379,0,1
98.42068965,1,1,0.517241379,0,1
98.93793103,2,1,0.517241379,0,1
99.45517241,3,1,0.517241379,0,1
99.97241382,4,1,0.646551724,1,1
99.97241382,5,2,0.646551724,1,1
101.5241379,5,0,0.517241379,0,1
102.0413793,1,1,0.646551724,1,1
102.0413793,1,2,0.646551724,1,1
102.5586207,4,1,0.646551724,1,1
102.5586207,4,2,0.646551724,1,1
103.075862,2,1,0.646551724,1,1
103.075862,2,2,0.646551724,1,1
103.5931034,3,1,0.646551724,1,1
103.5931034,3,2,0.646551724,1,1
104.1103448,2,0,2.068965517,1,1
104.1103448,1,1,2.068965517,1,1
104.1103448,3,0,2.068965517,1,1
104.1103448,4,1,2.068965517,1,1
106.1793103,0,2,0.646551724,0,1
107.2137931,3,1,0.646551724,0,1
108.2482758,2,1,0.646551724,0,1
109.2827586,5,2,0.646551724,0,1
110.3172414,1,1,0.517241379,0,1
110.8344827,4,1,0.517241379,0,1
111.3517241,2,1,0.517241379,0,1
111.8689655,3,1,0.517241379,0,1
112.3862069,2,0,0.646551724,0,1
112.3862069,3,0,0.646551724,0,1
114.4551724,1,1,0.517241379,0,1
114.9724138,4,1,0.517241379,0,1
115.4896552,2,1,0.517241379,0,1
116.0068965,3,1,0.517241379,0,1
116.5241379,2,1,0.646551724,0,1
117.5586207,3,1,0.646551724,1,1
117.5586207,4,2,0.646551724,1,1
118.5931034,0,1,0.25862069,0,1
119.1103448,2,1,0.25862069,0,1
119.6275862,4,1,0.25862069,0,1
120.1448276,1,2,0.646551724,0,1
120.1448276,4,2,0.646551724,0,1
